#source_node	source_class	dest_node	dest_class	edge_class
1	U	11	U	U-U
1	U	12	U	U-U
1	U	13	U	U-U
1	U	14	U	U-U
1	U	18	U	U-U
1	U	20	U	U-U
1	U	22	U	U-U
1	U	2	U	U-U
1	U	32	U	U-U
1	U	3	U	U-U
1	U	4	U	U-U
1	U	5	U	U-U
1	U	6	U	U-U
1	U	7	U	U-U
1	U	8	U	U-U
1	U	9	U	U-U
2	U	14	U	U-U
2	U	18	U	U-U
2	U	1	U	U-U
2	U	20	U	U-U
2	U	22	U	U-U
2	U	31	U	U-U
2	U	3	U	U-U
2	U	4	U	U-U
2	U	8	U	U-U
3	U	10	U	U-U
3	U	14	U	U-U
3	U	1	U	U-U
3	U	28	U	U-U
3	U	29	U	U-U
3	U	2	U	U-U
3	U	33	U	U-U
3	U	4	U	U-U
3	U	8	U	U-U
3	U	9	U	U-U
4	U	13	U	U-U
4	U	14	U	U-U
4	U	1	U	U-U
4	U	2	U	U-U
4	U	3	U	U-U
4	U	8	U	U-U
5	U	11	U	U-U
5	U	1	U	U-U
5	U	7	U	U-U
6	U	11	U	U-U
6	U	17	U	U-U
6	U	1	U	U-U
6	U	7	U	U-U
7	U	17	U	U-U
7	U	1	U	U-U
7	U	5	U	U-U
7	U	6	U	U-U
8	U	1	U	U-U
8	U	2	U	U-U
8	U	3	U	U-U
8	U	4	U	U-U
9	U	1	U	U-U
9	U	31	U	U-U
9	U	33	U	U-U
9	U	34	U	U-U
9	U	3	U	U-U
10	U	34	U	U-U
10	U	3	U	U-U
11	U	1	U	U-U
11	U	5	U	U-U
11	U	6	U	U-U
12	U	1	U	U-U
13	U	1	U	U-U
13	U	4	U	U-U
14	U	1	U	U-U
14	U	2	U	U-U
14	U	34	U	U-U
14	U	3	U	U-U
14	U	4	U	U-U
15	U	33	U	U-U
15	U	34	U	U-U
16	U	33	U	U-U
16	U	34	U	U-U
17	U	6	U	U-U
17	U	7	U	U-U
18	U	1	U	U-U
18	U	2	U	U-U
19	U	33	U	U-U
19	U	34	U	U-U
20	U	1	U	U-U
20	U	2	U	U-U
20	U	34	U	U-U
21	U	33	U	U-U
21	U	34	U	U-U
22	U	1	U	U-U
22	U	2	U	U-U
23	U	33	U	U-U
23	U	34	U	U-U
24	U	26	U	U-U
24	U	28	U	U-U
24	U	30	U	U-U
24	U	33	U	U-U
24	U	34	U	U-U
25	U	26	U	U-U
25	U	28	U	U-U
25	U	32	U	U-U
26	U	24	U	U-U
26	U	25	U	U-U
26	U	32	U	U-U
27	U	30	U	U-U
27	U	34	U	U-U
28	U	24	U	U-U
28	U	25	U	U-U
28	U	34	U	U-U
28	U	3	U	U-U
29	U	32	U	U-U
29	U	34	U	U-U
29	U	3	U	U-U
30	U	24	U	U-U
30	U	27	U	U-U
30	U	33	U	U-U
30	U	34	U	U-U
31	U	2	U	U-U
31	U	33	U	U-U
31	U	34	U	U-U
31	U	9	U	U-U
32	U	1	U	U-U
32	U	25	U	U-U
32	U	26	U	U-U
32	U	29	U	U-U
32	U	33	U	U-U
32	U	34	U	U-U
33	U	15	U	U-U
33	U	16	U	U-U
33	U	19	U	U-U
33	U	21	U	U-U
33	U	23	U	U-U
33	U	24	U	U-U
33	U	30	U	U-U
33	U	31	U	U-U
33	U	32	U	U-U
33	U	34	U	U-U
33	U	3	U	U-U
33	U	9	U	U-U
34	U	10	U	U-U
34	U	14	U	U-U
34	U	15	U	U-U
34	U	16	U	U-U
34	U	19	U	U-U
34	U	20	U	U-U
34	U	21	U	U-U
34	U	23	U	U-U
34	U	24	U	U-U
34	U	27	U	U-U
34	U	28	U	U-U
34	U	29	U	U-U
34	U	30	U	U-U
34	U	31	U	U-U
34	U	32	U	U-U
34	U	33	U	U-U
34	U	9	U	U-U
